"mNo","lat","lon","easting","northing","height","st.code","type","type_area","country","Koppen","pm10.obs","pm10.LE","region","Koppen3","Koppen3a","KA","KA2","dg","TIME"
23,46.6083297729492,14.3986101150513,4658.09081845072,2620.54027324661,430,"AT2M226","background","rural","AT",26,16.5,24.9198303222656,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
27,48.1061096191406,15.9194478988647,4761.51513276117,2794.61272375466,581,"AT30202","background","rural","AT",26,21.2999992370605,26.7028694152832,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
42,48.2366676330566,16.6369476318359,4813.48404035839,2813.61524335051,150,"AT30407","background","rural","AT",26,37.7000007629395,28.3546905517578,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
50,48.8786087036133,15.0466785430908,4690.95400180941,2875.49444084093,560,"AT30502","background","rural","AT",26,24.2999992370605,27.2664966583252,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
51,48.086109161377,16.4333324432373,4799.83944108485,2795.59527165814,172,"AT30603","background","rural","AT",26,34.2000007629395,29.521879196167,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
56,47.7700004577637,16.7664031982422,4827.6793238587,2762.80051477554,117,"AT0ILL1","background","rural","AT",26,37.5,25.4845161437988,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
67,46.7527770996094,15.9566717147827,4775.9990242177,2644.86701284068,300,"AT60185","background","rural","AT",26,23.2999992370605,35.616283416748,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
72,47.4591674804688,11.9105634689331,4465.14266239971,2706.92166508985,600,"AT72538","background","rural","AT",26,18.2000007629395,12.2377281188965,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
81,47.5672225952148,14.2436199188232,4640.33275686135,2726.22533954163,665,"AT60182","background","rural","AT",26,26.6000003814697,20.3596134185791,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
94,48.3222198486328,15.9666662216187,4763.12894127106,2818.85139826208,182,"AT31905","background","rural","AT",26,34.7999992370605,27.6987133026123,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
